seaotter,releasenum,days_since_rel,fix_type,fix_qual,latitude,longitude,,
526,1,3.055555556,v,0.5,36.81012428,-121.7858994,,
526,1,3.961805556,v,0.5,36.80989436,-121.7865787,,
526,1,4.998611111,v,0.5,36.81113025,-121.7871695,,
526,1,6.038888889,b,0.5,36.81083394,-121.7894222,,
526,1,6.969444444,b,0.5,36.80960527,-121.7877082,,
526,1,8.995833333,b,0.5,36.8103701,-121.7877078,,
526,1,12.12777778,b,0.5,36.810929,-121.791318,,
526,1,13.10694444,b,0.5,36.81063924,-121.7884639,,
558,1,0,b,0.5,36.82039715,-121.7450875,,
558,1,0.984722222,b,0.5,36.815445,-121.747476,,
558,1,1.992361111,b,0.5,36.81522508,-121.7660375,,
558,1,3.054861111,b,0.5,36.81769662,-121.7520429,,
558,2,0,b,0.5,36.81835015,-121.7457945,,
558,2,0.995833333,b,0.5,36.81550565,-121.7660009,,
558,2,1.988888889,a,1,36.816536,-121.765693,,
558,2,3.038888889,b,0.5,36.81533657,-121.7661623,,
558,2,4.069444444,b,0.5,36.81581876,-121.7676552,,
558,2,5.064583333,b,0.5,36.81973275,-121.7627052,,
558,2,6.967361111,b,0.5,36.85425648,-121.7587535,,
558,2,9.080555556,v,0.5,36.8174554,-121.756495,,
558,2,12.13472222,a,1,36.840578,-121.750845,,
558,2,17.15347222,b,0.5,36.81383895,-121.7505836,,
558,2,18.05,b,0.5,36.81453978,-121.7460826,,
558,2,18.9875,b,0.5,36.81590194,-121.7473816,,
558,2,20.10486111,b,0.5,36.81678385,-121.7508546,,
558,2,25.01111111,b,0.5,36.84036402,-121.7444813,,
587,1,0,b,0.5,36.81948015,-121.7459575,,
587,1,0.140972222,b,0.5,36.81702841,-121.7650635,,
587,1,1.124305556,b,0.5,36.85277741,-121.7602803,,
587,1,1.933333333,b,0.5,36.8122164,-121.7719763,,
587,1,2.947222222,b,0.5,36.81652909,-121.7695712,,
