"","seaotter","Date","FoodType","Amount_offered_kg","Amount_offered_kg_num","DateTime_real","year","month","Date_real"
"178",653,2014-09-04 17:10:00,"Live",0.5,0.5,2014-09-04 17:10:00,2014,9,2014-09-04
"179",653,2014-09-04 17:10:02,"Live",0.5,0.5,2014-09-04 17:10:02,2014,9,2014-09-04
"180",653,2014-09-04 20:00:00,"Supplemental",0.813,0.813,2014-09-04 20:00:00,2014,9,2014-09-04
"181",653,2014-09-04 20:00:00,"Supplemental",0.313,0.313,2014-09-04 20:00:00,2014,9,2014-09-04
"182",653,2014-09-04 20:00:23,"Supplemental",0.813,0.813,2014-09-04 20:00:23,2014,9,2014-09-04
"183",653,2014-09-04 20:00:23,"Supplemental",0.313,0.313,2014-09-04 20:00:23,2014,9,2014-09-04
"184",653,2014-09-04 23:45:00,"Supplemental",0.491,0.491,2014-09-04 23:45:00,2014,9,2014-09-04
"185",653,2014-09-04 23:45:00,"Supplemental",0.626,0.626,2014-09-04 23:45:00,2014,9,2014-09-04
"186",653,2014-09-04 23:45:00,"Live",0.031,0.031,2014-09-04 23:45:00,2014,9,2014-09-04
"187",653,2014-09-04 23:45:02,"Live",0.031,0.031,2014-09-04 23:45:02,2014,9,2014-09-04
"188",653,2014-09-04 23:45:02,"Supplemental",0.491,0.491,2014-09-04 23:45:02,2014,9,2014-09-04
"189",653,2014-09-04 23:45:02,"Supplemental",0.626,0.626,2014-09-04 23:45:02,2014,9,2014-09-04
"190",653,2014-09-05 10:00:00,"Supplemental",0.563,0.563,2014-09-05 10:00:00,2014,9,2014-09-05
"191",653,2014-09-05 10:00:00,"Supplemental",0.563,0.563,2014-09-05 10:00:00,2014,9,2014-09-05
"192",653,2014-09-05 10:00:34,"Supplemental",0.563,0.563,2014-09-05 10:00:34,2014,9,2014-09-05
"193",653,2014-09-05 10:00:34,"Supplemental",0.563,0.563,2014-09-05 10:00:34,2014,9,2014-09-05
"194",653,2014-09-05 14:45:00,"Supplemental",0.563,0.563,2014-09-05 14:45:00,2014,9,2014-09-05
"195",653,2014-09-05 14:45:00,"Live",0.563,0.563,2014-09-05 14:45:00,2014,9,2014-09-05
"196",653,2014-09-05 14:45:34,"Live",0.563,0.563,2014-09-05 14:45:34,2014,9,2014-09-05
"197",653,2014-09-05 14:45:34,"Supplemental",0.563,0.563,2014-09-05 14:45:34,2014,9,2014-09-05
"198",653,2014-09-05 18:45:00,"Live",0.507,0.507,2014-09-05 18:45:00,2014,9,2014-09-05
"199",653,2014-09-05 18:45:00,"Supplemental",0.626,0.626,2014-09-05 18:45:00,2014,9,2014-09-05
"200",653,2014-09-05 18:45:55,"Live",0.507,0.507,2014-09-05 18:45:55,2014,9,2014-09-05
"201",653,2014-09-05 18:45:55,"Supplemental",0.626,0.626,2014-09-05 18:45:55,2014,9,2014-09-05
"202",653,2014-09-05 21:30:19,"Supplemental",0.422,0.422,2014-09-05 21:30:19,2014,9,2014-09-05
"203",653,2014-09-05 22:45:00,"Live",2.189,2.189,2014-09-05 22:45:00,2014,9,2014-09-05
"204",653,2014-09-05 22:45:00,"Live",1.251,1.251,2014-09-05 22:45:00,2014,9,2014-09-05
"205",653,2014-09-05 22:45:04,"Live",1.251,1.251,2014-09-05 22:45:04,2014,9,2014-09-05
