#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 11 12 00 320  9.3 99.0 99.00 99.00 99.00 999 1016.3   7.5  11.2 999.0 99.0 99.00
2007 01 11 13 00 320 10.3 99.0 99.00 99.00 99.00 999 1016.1   7.6  11.2 999.0 99.0 99.00
2007 01 11 14 00 320  9.8 99.0 99.00 99.00 99.00 999 1016.3   7.6  11.2 999.0 99.0 99.00
2007 01 11 15 00 330  8.2 99.0 99.00 99.00 99.00 999 1016.9   7.2  11.2 999.0 99.0 99.00
2007 01 11 16 00 310  8.2 99.0 99.00 99.00 99.00 999 1017.1   6.8  11.2 999.0 99.0 99.00
2007 01 11 17 00 320  6.2 99.0 99.00 99.00 99.00 999 1017.9   6.6  11.1 999.0 99.0 99.00
2007 01 11 18 00 340  4.6 99.0 99.00 99.00 99.00 999 1018.4   6.7  11.1 999.0 99.0 99.00
2007 01 11 19 00 310  5.7 99.0 99.00 99.00 99.00 999 1018.3   7.2  11.2 999.0 99.0 99.00
2007 01 11 20 00 310  3.6 99.0 99.00 99.00 99.00 999 1017.7   7.2  11.2 999.0 99.0 99.00
2007 01 11 21 00 300  7.7 99.0 99.00 99.00 99.00 999 1017.1   7.6  11.2 999.0 99.0 99.00
2007 01 11 22 00 290 10.8 99.0 99.00 99.00 99.00 999 1016.3   7.6  11.2 999.0 99.0 99.00
2007 01 11 23 00 290 10.8 99.0 99.00 99.00 99.00 999 1016.0   7.9  11.2 999.0 99.0 99.00
2007 01 12 00 00 290  9.8 99.0 99.00 99.00 99.00 999 1016.1   8.0  11.2 999.0 99.0 99.00
2007 01 12 01 00 300 10.8 99.0 99.00 99.00 99.00 999 1016.0   7.9  11.2 999.0 99.0 99.00
2007 01 12 05 00 320  9.8 99.0 99.00 99.00 99.00 999 1016.4   7.4  11.1 999.0 99.0 99.00
2007 01 12 06 00 320  8.2 99.0 99.00 99.00 99.00 999 1016.6   7.3  11.1 999.0 99.0 99.00
2007 01 12 07 00 330  8.8 99.0 99.00 99.00 99.00 999 1016.9   7.0  11.0 999.0 99.0 99.00
2007 01 12 08 00 350  5.7 99.0 99.00 99.00 99.00 999 1016.9   6.5  11.1 999.0 99.0 99.00
2007 01 12 09 00 330  4.1 99.0 99.00 99.00 99.00 999 1016.7   6.3  11.1 999.0 99.0 99.00
2007 01 12 10 00 340  4.6 99.0 99.00 99.00 99.00 999 1016.9   6.3  11.1 999.0 99.0 99.00
2007 01 12 11 00  10  5.1 99.0 99.00 99.00 99.00 999 1017.3   5.7  11.0 999.0 99.0 99.00
2007 01 12 12 00  10  4.1 99.0 99.00 99.00 99.00 999 1017.5   5.7  11.0 999.0 99.0 99.00
2007 01 12 13 00 340  6.7 99.0 99.00 99.00 99.00 999 1017.6   6.0  11.0 999.0 99.0 99.00
2007 01 12 14 00 340  9.3 99.0 99.00 99.00 99.00 999 1017.8   5.5  11.0 999.0 99.0 99.00
2007 01 12 15 00  10  8.2 99.0 99.00 99.00 99.00 999 1018.8   5.3  11.0 999.0 99.0 99.00
2007 01 12 16 00 360  7.2 99.0 99.00 99.00 99.00 999 1019.4   5.0  11.0 999.0 99.0 99.00
2007 01 12 17 00  10  9.8 99.0 99.00 99.00 99.00 999 1020.1   5.3  11.0 999.0 99.0 99.00
2007 01 12 18 00 350 10.3 99.0 99.00 99.00 99.00 999 1020.9   5.4  10.9 999.0 99.0 99.00
2007 01 12 19 00 350 10.8 99.0 99.00 99.00 99.00 999 1021.2   5.3  10.9 999.0 99.0 99.00
2007 01 12 20 00 330  5.1 99.0 99.00 99.00 99.00 999 1020.8   5.7  10.9 999.0 99.0 99.00
2007 01 12 21 00 340  8.2 99.0 99.00 99.00 99.00 999 1019.8   6.4  11.0 999.0 99.0 99.00
2007 01 12 22 00 350  5.7 99.0 99.00 99.00 99.00 999 1019.6   6.7  10.9 999.0 99.0 99.00
2007 01 12 23 00 350  8.8 99.0 99.00 99.00 99.00 999 1019.8   6.6  10.9 999.0 99.0 99.00
2007 01 13 00 00 350  9.8 99.0 99.00 99.00 99.00 999 1020.0   6.8  10.9 999.0 99.0 99.00
2007 01 13 01 00 360  8.2 99.0 99.00 99.00 99.00 999 1020.7   6.6  10.9 999.0 99.0 99.00
2007 01 13 02 00 360  6.7 99.0 99.00 99.00 99.00 999 1021.2   6.3  10.9 999.0 99.0 99.00
2007 01 13 03 00 340  6.7 99.0 99.00 99.00 99.00 999 1021.7   5.9  10.8 999.0 99.0 99.00
2007 01 13 04 00 350  6.7 99.0 99.00 99.00 99.00 999 1022.2   5.7  10.8 999.0 99.0 99.00
2007 01 13 05 00  10  8.8 99.0 99.00 99.00 99.00 999 1022.4   5.9  10.9 999.0 99.0 99.00
2007 01 13 06 00 360  9.8 99.0 99.00 99.00 99.00 999 1022.5   6.0  10.9 999.0 99.0 99.00
